time,hr
1455897613152,74
1455897632985,73
1455897642313,72
1455897653355,77
1455897663361,77
1455897683072,77
1455897692488,72
1455897702516,75
1455897717547,65
1455897728606,70
1455897737686,67
1455897748741,77
1455897757802,65
1455897767860,67
1455897781898,72
1455897798924,67
1455897807976,72
1455897818034,77
1455897838708,70
1455897848144,70
1455897859154,67
1455897868204,77
1455897878249,70
1455897894281,77
1455897903360,67
1455897913403,60
1455897924492,58
1455897933512,63
1455897945542,70
1455897960634,63
1455897979671,67
1455897988717,65
1455897999807,70
1455898008789,72
1455898018789,72
1455898028823,70
1455898038801,72
1455898050786,75
