time,power,alpha,beta,gamma
1455713711126,0.97,350.0110778808594,-13.999531745910645,-9.797980308532715
1455713711170,0.97,349.9399719238281,-13.92666244506836,-9.73972225189209
1455713711233,0.97,349.7798767089844,-14.001603126525879,-9.469263076782227
1455713711292,0.97,349.6486511230469,-14.27354907989502,-9.059038162231445
1455713711354,0.97,349.65106201171875,-14.440716743469238,-8.917264938354492
1455713711412,0.97,349.4481201171875,-14.508438110351562,-8.806944847106934
1455713711475,0.97,349.26416015625,-14.490703582763672,-8.813652992248535
1455713711533,0.97,349.1766052246094,-14.363948822021484,-8.786069869995117
1455713711594,0.97,349.1806335449219,-14.383134841918945,-8.768401145935059
1455713711652,0.97,349.0619201660156,-14.305479049682617,-8.770485877990723
1455713711714,0.97,348.9968566894531,-14.215283393859863,-8.773491859436035
1455713711773,0.97,348.8011474609375,-14.255328178405762,-8.646196365356445
1455713711834,0.97,348.8170471191406,-14.244400024414062,-8.499373435974121
1455713711891,0.97,348.7056579589844,-14.408061981201172,-8.305156707763672
1455713711954,0.97,348.55078125,-15.191844940185547,-8.523154258728027
1455713712011,0.97,347.7738037109375,-18.02481460571289,-8.2841157913208
1455713712074,0.97,346.8689880371094,-24.47735023498535,-7.536843776702881
1455713712131,0.97,346.14178466796875,-28.01523208618164,-6.9564528465271
1455713712193,0.97,346.16815185546875,-32.05751419067383,-7.067253112792969
1455713712251,0.97,346.1385498046875,-33.91830825805664,-6.987017631530762
1455713712313,0.97,346.2312316894531,-36.35090255737305,-6.942928791046143
1455713712370,0.97,346.454833984375,-37.487186431884766,-7.032818794250488
1455713712433,0.97,346.73199462890625,-39.01871109008789,-7.270132064819336
1455713712490,0.97,346.7237243652344,-39.93332290649414,-7.306743621826172
1455713712553,0.97,346.6050720214844,-41.31798553466797,-7.036227226257324
1455713712610,0.97,346.8357849121094,-42.101905822753906,-6.8848795890808105
1455713712672,0.97,347.0170593261719,-41.549251556396484,-6.873284339904785
1455713712730,0.97,348.57342529296875,-32.17597961425781,-8.239184379577637
1455713712793,0.97,348.6389465332031,-28.712202072143555,-8.602683067321777
1455713712850,0.97,349.0399475097656,-24.029403686523438,-8.925765991210938
1455713712912,0.97,348.8659973144531,-21.815866470336914,-8.763446807861328
1455713712969,0.97,348.7928161621094,-21.748016357421875,-9.096298217773438
1455713713033,0.97,348.41571044921875,-22.147480010986328,-9.197124481201172
1455713713090,0.97,347.7984924316406,-25.14930534362793,-9.414032936096191
1455713713151,0.97,347.5702819824219,-26.37572479248047,-9.555572509765625
1455713713209,0.97,347.14410400390625,-28.349590301513672,-9.573911666870117
1455713713272,0.97,347.0044860839844,-28.71554946899414,-9.520508766174316
1455713713329,0.97,346.74658203125,-28.113550186157227,-9.624165534973145
1455713713392,0.97,346.6911926269531,-26.31959342956543,-9.623220443725586
1455713713448,0.97,346.22406005859375,-22.688064575195312,-9.130313873291016
1455713713512,0.97,345.9574890136719,-22.181278228759766,-8.965737342834473
1455713713569,0.97,345.89813232421875,-21.998472213745117,-8.91059684753418
1455713713631,0.97,345.20550537109375,-21.64248275756836,-8.546677589416504
1455713713687,0.97,344.8099670410156,-21.451377868652344,-8.327784538269043
1455713713750,0.97,344.06829833984375,-20.767236709594727,-7.805459976196289
1455713713808,0.97,343.2742004394531,-19.633310317993164,-7.330453395843506
1455713713870,0.97,339.0501708984375,-11.442004203796387,-4.944159984588623
1455713713927,0.97,336.70458984375,-5.6154351234436035,-3.7482144832611084
1455713713990,0.97,332.1847229003906,5.30269193649292,-2.5677859783172607
1455713714046,0.97,330.30877685546875,10.349905014038086,-2.5612683296203613
1455713714110,0.97,326.6594543457031,17.520320892333984,-2.78330397605896
1455713714166,0.97,324.69378662109375,22.348148345947266,-3.008665084838867
1455713714229,0.97,319.94781494140625,33.78920364379883,-2.94012451171875
1455713714287,0.97,314.94158935546875,46.37245559692383,-2.372551918029785
1455713714350,0.97,312.6468200683594,54.159873962402344,-1.5655972957611084
1455713714407,0.97,308.6658935546875,67.49270629882812,-0.9948393702507019
1455713714468,0.97,307.1109619140625,72.51750183105469,-0.9557843208312988
1455713714526,0.97,306.785888671875,81.50057983398438,-0.4896785616874695
1455713714589,0.97,308.040771484375,84.21354675292969,-0.19599410891532898
1455713714646,0.97,311.23468017578125,86.29863739013672,-0.1764461100101471
1455713714708,0.97,312.85589599609375,86.2586898803711,-0.17120051383972168
1455713714765,0.97,314.9032897949219,85.0948715209961,-0.23075975477695465
1455713714828,0.97,315.3231506347656,84.52367401123047,-0.32188814878463745
1455713714886,0.97,315.51800537109375,83.81388092041016,-0.6497372388839722
1455713714949,0.97,315.1827697753906,83.24439239501953,-0.9054048657417297
1455713715004,0.97,315.02740478515625,83.32926177978516,-1.0053714513778687
